lon,lat,cat
-8.6127224,41.1405791,information
-8.6126964,41.1406211,guest_house
-8.612612,41.1406291,guest_house
-8.6126017,41.1405315,information
-8.6129431,41.1420609,viewpoint
-8.6115294,41.1406705,guest_house
-8.6120465,41.1423091,viewpoint
-8.6119924,41.1425293,attraction
-8.6377532,41.1425617,hotel
-8.6425457,41.1441792,viewpoint
-8.6404589,41.1473711,viewpoint
-8.640178,41.1474132,viewpoint
-8.6409896,41.148409,attraction
-8.6124714,41.1405594,information
-8.6124578,41.1405891,information
-8.6123777,41.1405921,information
-8.6118486,41.1405922,information
-8.6113795,41.1406532,information
-8.611471,41.1406702,information
-8.6515988,41.149496,viewpoint
-8.6556816,41.1838751,picnic_site
-8.6652657,41.1759788,information
-8.6657114,41.173183,information
-8.6668178,41.1753094,information
-8.6638534,41.1757517,information
-8.6595941,41.1697264,information
-8.6664826,41.1726559,information
-8.6522932,41.1669239,artwork
-8.6643479,41.1711671,information
-8.6575996,41.1600846,artwork
-8.6573939,41.1569893,artwork
-8.6572545,41.1550097,artwork
-8.6563093,41.1570816,artwork
-8.6563063,41.1596025,museum
-8.6663194,41.1697728,information
-8.6706483,41.1710993,apartment
-8.6599217,41.1595721,artwork
-8.6581946,41.1600983,artwork
-8.6588616,41.160881,artwork
-8.6589191,41.1601222,artwork
-8.6497373,41.1631914,hotel
-8.6608578,41.1575188,artwork
-8.6603715,41.1584202,artwork
-8.6742939,41.1709677,attraction
-8.6721934,41.1703297,attraction
-8.6730003,41.1701764,information
-8.6721024,41.1702815,attraction
-8.674334,41.1694259,attraction
-8.6733738,41.1699928,attraction
-8.6721953,41.1699563,attraction
-8.6722658,41.1688191,information
-8.6648295,41.1616071,artwork
-8.6672012,41.1626264,apartment
-8.6817071,41.1809332,hotel
-8.672302,41.165737,information
-8.6718327,41.1676407,information
-8.6758444,41.1690226,information
-8.6765478,41.1713531,museum
-8.6763244,41.1703741,information
-8.6743128,41.1665467,information
-8.673509,41.1644955,museum
-8.6819871,41.1808791,artwork
-8.6856062,41.1808136,hotel
-8.675446,41.1673363,information
-8.6788371,41.1712156,attraction
-8.6761906,41.1660629,information
-8.6833653,41.1836689,museum
-8.676909,41.1672491,attraction
-8.6784998,41.1679152,attraction
-8.6799576,41.1699985,attraction
-8.6813682,41.1702943,information
-8.678937,41.1684937,attraction
-8.6813739,41.169485,attraction
-8.6873562,41.1716951,information
-8.6887875,41.1733664,artwork
